sepal_length,sepal_width,petal_length,petal_width,species
6.1,2.8,4.7,1.2,Iris-versicolor
5.843333333333334,3.8,1.7,0.3,Iris-setosa
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.9,4.5,1.5,Iris-versicolor
6.8,2.8,5.447632680168038,1.4,Iris-versicolor
5.4,3.4,1.5,0.4,Iris-setosa
5.6,2.9,3.6,1.3,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
6.2,2.2,4.5,1.5,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.5,3.2,5.1,2.0,Iris-virginica
4.8,3.0,1.4,1.1986666666666668,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.1,3.8,2.465672315221102,1.1,Iris-setosa
6.3,3.837698318404423,4.7,1.6,Iris-versicolor
6.5,3.0,1.1,2.2,Iris-virginica
5.6,2.5,3.9,1.1,Iris-versicolor
5.7,3.0540000000000003,4.5,1.3,Iris-versicolor
6.4,2.8,5.6,2.2,Iris-virginica
4.7,3.9,1.6,0.2,Iris-setosa
5.843333333333334,3.0,4.9,1.565617531112606,Iris-virginica
7.2,3.4,1.6,0.4,Iris-versicolor
6.4,2.8,5.6,2.1,Iris-virginica
6.0,3.8,3.758666666666666,2.0,Iris-virginica
6.9,3.0,5.2,2.3,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
4.8,3.0,1.4,0.3,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa
5.358631214549193,4.4,1.5,0.4,Iris-setosa
6.7,3.1,4.4,0.20948172805839582,Iris-setosa
4.8,3.4,1.6,2.0,Iris-setosa
4.4,3.5154307449809177,1.3,0.2,Iris-setosa
6.3,2.5,5.0,1.9,Iris-virginica
6.4,3.2,4.5,1.5,Iris-versicolor
5.2,3.5,1.5,0.2,Iris-setosa
5.0,3.6,3.758666666666666,0.2,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
6.0,3.4,4.5,1.6,Iris-virginica
6.7,3.1,4.7,1.5,Iris-versicolor
4.4,2.6,1.3,0.4,Iris-setosa
5.4,3.7,1.5,1.1178986832131315,Iris-setosa
5.843333333333334,3.7303992247378237,3.7,1.0,Iris-versicolor
6.3,2.8,5.1,1.5,Iris-virginica
6.4,3.4,5.5,1.8,Iris-virginica
6.6,3.0,4.4,0.17362200189045796,Iris-versicolor
5.0,3.6,5.315360995865829,2.5,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
7.6,3.0,4.5,1.5,Iris-virginica
5.6,3.0,4.5,1.5,Iris-versicolor
5.1,3.5,-2.0892327926840184,0.2,Iris-virginica
8.11289496457182,3.1,6.7,1.1986666666666668,Iris-virginica
