age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
44,3,3,3,1,1,1,1,0,2
31,2,3,2,1,1,1,4,0,1
45,3,3,8,1,1,2,1,0,1
30,1,4,5,1,0,3,4,0,2
37,4,4,1,1,1,3,2,0,1
25,4,4,2,1,0,3,3,0,3
29,2,2,3,1,0,3,2,0,2
31,3,3,0,1,0,3,4,0,3
32,5,4,3,1,0,1,4,1,2
32,3,4,9,0,1,1,4,0,3
42,3,3,7,1,1,3,4,0,2
32,4,4,2,1,0,3,4,0,1
27,1,4,3,1,1,3,3,0,1
49,4,3,13,1,1,3,4,0,3
25,3,4,0,1,1,1,3,0,1
42,1,3,12,1,0,2,3,0,1
34,4,4,3,1,1,1,4,0,2
47,3,4,4,0,1,3,3,1,3
30,2,4,2,0,1,3,4,0,1
37,3,4,7,1,1,2,1,0,1
26,3,4,2,1,0,1,4,0,2
35,4,4,3,1,1,1,4,0,2
27,4,3,3,1,0,1,3,0,1
46,4,3,5,1,1,1,3,0,2
33,2,3,2,1,1,3,4,0,1
32,3,4,2,0,1,3,3,0,2
