age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
43,4,4,3,0,1,2,4,0,1
32,4,4,3,1,0,1,4,0,3
25,2,3,2,1,1,3,1,0,3
43,4,4,3,0,1,2,4,0,1
25,2,4,3,1,1,1,3,0,3
29,2,3,3,1,1,3,3,0,3
43,3,4,10,1,1,3,3,0,1
36,4,4,4,0,0,1,4,0,2
28,3,3,3,1,1,1,2,0,2
29,3,4,2,1,1,1,4,0,2
16,3,4,1,1,1,3,3,0,1
29,2,3,3,1,1,3,3,0,3
38,3,4,7,1,1,3,2,0,3
36,4,4,3,0,1,3,4,0,3
49,3,3,11,1,1,1,4,0,2
49,1,3,0,1,1,3,3,1,1
22,2,3,2,1,1,3,1,0,1
16,3,4,1,1,1,3,3,0,1
25,2,3,2,1,1,3,1,0,3
30,4,4,0,0,0,1,3,0,1
34,2,3,2,1,1,3,3,0,2
30,4,4,0,0,0,1,3,0,1
28,3,3,3,1,1,1,2,0,2
22,3,4,2,1,1,2,4,0,3
49,1,3,0,1,1,3,3,1,1
36,4,4,3,0,1,3,4,0,3
