age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
47,1,3,9,1,0,3,3,0,3
36,3,4,4,0,0,2,4,0,2
45,4,4,3,0,1,2,4,0,2
33,4,4,3,1,1,1,4,0,1
22,4,4,1,1,1,2,3,0,3
17,2,2,3,1,1,3,1,0,1
33,4,4,2,0,0,1,3,0,2
28,4,4,0,0,1,1,3,0,1
22,3,4,0,1,0,3,4,0,1
41,4,4,4,0,1,1,4,0,2
33,2,3,7,1,0,3,1,0,3
43,3,4,10,1,1,3,3,0,1
32,2,4,0,1,0,3,4,0,1
17,3,4,1,1,1,3,3,0,3
25,4,4,2,1,1,2,4,0,2
38,3,4,7,0,1,2,3,0,2
28,1,4,2,1,0,2,3,0,1
37,4,4,3,1,1,1,4,0,2
44,1,3,0,1,1,2,3,0,1
21,4,4,1,1,1,3,3,0,1
32,4,4,3,1,1,1,4,0,3
38,2,2,6,1,1,3,4,0,1
39,2,2,5,1,0,3,2,1,1
33,4,4,3,0,0,1,3,0,1
29,2,4,3,1,1,3,3,0,3
34,4,4,3,0,0,3,3,0,1
