,sepal_length,sepal_width,petal_length,petal_width,species
22,4.6,3.6,1.0,0.2,Iris-setosa
15,5.7,4.4,1.5,0.4,Iris-setosa
65,6.7,3.1,4.4,1.4,Iris-versicolor
11,4.8,3.4,1.6,0.2,Iris-setosa
42,4.4,3.2,1.3,0.2,Iris-setosa
146,6.3,2.5,5.0,1.9,Iris-virginica
51,6.4,3.2,4.5,1.5,Iris-versicolor
27,5.2,3.5,1.5,0.2,Iris-setosa
4,5.0,3.6,1.4,0.2,Iris-setosa
32,5.2,4.1,1.5,0.1,Iris-setosa
142,5.8,2.7,5.1,1.9,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor
16,5.4,3.9,1.3,0.4,Iris-setosa
10,5.4,3.7,1.5,0.2,Iris-setosa
81,5.5,2.4,3.7,1.0,Iris-versicolor
133,6.3,2.8,5.1,1.5,Iris-virginica
137,6.4,3.1,5.5,1.8,Iris-virginica
75,6.6,3.0,4.4,1.4,Iris-versicolor
109,7.2,3.6,6.1,2.5,Iris-virginica
96,5.7,2.9,4.2,1.3,Iris-versicolor
105,7.6,3.0,6.6,2.1,Iris-virginica
66,5.6,3.0,4.5,1.5,Iris-versicolor
0,5.1,3.5,1.4,0.2,Iris-setosa
122,7.7,2.8,6.7,2.0,Iris-virginica
67,5.8,2.7,4.1,1.0,Iris-versicolor
28,5.2,3.4,1.4,0.2,Iris-setosa
40,5.0,3.5,1.3,0.3,Iris-setosa
44,5.1,3.8,1.9,0.4,Iris-setosa
60,5.0,2.0,3.5,1.0,Iris-versicolor
