age,education,partner_education,n_children,islam,working,husband_occupation,living_standard,media_exposure,contraceptive
42,1,4,8,1,1,1,3,0,1
26,3,3,4,1,1,2,3,0,3
29,2,3,2,1,1,3,1,1,1
39,5,4,7,1,0,1,4,0,3
30,1,3,1,1,1,3,4,0,1
30,3,4,3,1,1,4,2,0,3
26,4,4,2,0,1,1,4,0,2
43,2,4,4,1,0,3,4,0,3
40,4,2,1,1,1,3,4,0,3
34,4,4,6,1,1,3,2,0,1
42,4,3,1,0,1,1,3,1,2
45,4,4,3,0,0,2,4,1,2
34,3,3,8,0,1,3,4,0,3
46,4,4,6,0,1,3,2,0,2
28,4,2,5,1,1,1,2,0,3
42,2,2,9,1,0,3,4,0,1
47,1,1,3,1,0,3,2,0,1
23,2,4,1,0,1,1,4,0,1
36,2,1,3,0,1,3,4,0,3
31,2,1,6,1,1,3,2,0,1
42,1,3,9,1,0,3,1,1,1
43,3,3,2,0,0,2,3,1,3
27,2,4,3,1,1,3,3,0,1
17,3,3,1,1,1,2,4,0,3
32,2,3,3,1,0,3,3,0,2
43,3,4,3,1,1,3,3,0,2
26,3,4,3,1,1,3,1,0,2
32,4,4,1,1,1,1,3,0,2
29,2,4,2,1,1,3,4,0,1
28,4,4,3,1,1,3,3,0,1
25,3,3,3,1,0,3,4,1,1
32,1,2,6,1,1,2,2,1,1
30,2,4,3,0,1,3,0,1,1
30,2,3,4,1,0,4,4,0,1
30,3,3,3,1,1,3,3,0,1
35,4,4,4,1,1,1,4,0,3
49,2,4,1,1,1,3,3,1,1
32,2,3,5,1,1,4,4,0,1
32,1,3,7,1,1,3,4,1,1
25,2,1,4,1,0,3,2,0,1
24,2,3,6,1,1,3,2,0,3
28,3,2,5,1,1,1,4,0,1
38,2,4,3,0,1,3,4,0,2
33,4,4,2,1,0,1,3,1,2
29,4,3,5,1,1,3,3,0,1
39,4,3,3,1,1,1,4,0,1
43,3,2,5,1,1,3,4,0,3
33,2,4,2,1,0,4,3,0,2
34,4,4,4,0,1,2,4,0,1
26,4,3,3,0,1,3,1,0,1
42,3,1,3,0,1,3,1,0,2
23,4,4,0,1,0,1,1,0,1
